County,,1989-01-01,1990-01-01,1991-01-01,1992-01-01,1993-01-01,1994-01-01,1995-01-01,1996-01-01,1997-01-01,1998-01-01,1999-01-01,2000-01-01,2001-01-01,2002-01-01,2003-01-01,2004-01-01,2005-01-01,2006-01-01,2007-01-01,2008-01-01,2009-01-01,2010-01-01,2011-01-01,2012-01-01,2013-01-01,2014-01-01,2015-01-01,2016-01-01,2017-01-01,2018-01-01,2019-01-01
Glenn,,21847,#N/A,#N/A,#N/A,24416,#N/A,26293,#N/A,28649,29055,30626,32321,31637,31751,32725,34883,35707,38093,38521,39641,41904,40859,40221,41201,42129,43755,43584,46141,49979,47365,55682
Humboldt,,23408,#N/A,#N/A,#N/A,26265,#N/A,28468,#N/A,30426,31630,30669,32098,31251,31546,32211,33281,33923,38796,37281,39627,35985,38254,39526,39837,40882,40581,40739,43164,46123,49471,51134
Imperial,,18558,#N/A,#N/A,#N/A,20207,#N/A,22201,#N/A,23359,24430,28712,31651,30760,31412,32637,33674,35085,36275,33576,36894,37846,39261,36898,38185,40106,38737,39925,43327,43413,46633,48102
Inyo,,25519,#N/A,#N/A,#N/A,27878,#N/A,30238,#N/A,32871,35043,34553,36377,35848,36806,37553,38853,39911,41366,46865,47197,44090,44507,44928,45748,45784,49267,51697,53350,53528,53793,59605
Kern,,26614,#N/A,#N/A,#N/A,29372,#N/A,32183,#N/A,32359,33769,33723,36446,35575,36441,37614,38689,40146,42709,46639,44716,46938,45045,44903,45599,46688,47451,51150,49812,49904,51586,53245
Kings,,23883,#N/A,#N/A,#N/A,27075,#N/A,28337,#N/A,30577,31296,32787,34724,33879,34709,36137,38238,40433,42070,45087,48614,44102,44020,48319,45464,45794,44490,46440,51320,55076,58255,57297
Lassen,,26252,#N/A,#N/A,#N/A,29865,#N/A,34032,#N/A,36819,39247,36484,37358,36128,36831,37687,39143,41423,45668,47676,47333,46377,50093,47938,47480,50487,49995,54670,49793,58776,57705,53613
Los Angeles,,31123,#N/A,#N/A,#N/A,32689,#N/A,33828,#N/A,36441,37655,38900,42045,41573,41506,41544,43518,48166,51279,53494,55452,54375,52595,52239,52929,54443,55686,59045,61308,64912,67986,72721
Madera,,23150,#N/A,#N/A,#N/A,26905,#N/A,31644,#N/A,30804,31499,33103,35248,34010,34432,36050,37881,44655,39919,44259,46066,42769,43596,44795,42054,41223,43171,46593,49467,50783,53632,61105
Marin,,47104,#N/A,#N/A,#N/A,50609,#N/A,53266,#N/A,60967,62126,67785,72301,73276,70854,66764,67731,78009,81305,83910,89909,86658,82383,78470,88654,94347,94549,99868,103488,112735,122933,112069
Mariposa,,22238,#N/A,#N/A,#N/A,26723,#N/A,29339,#N/A,31178,32760,33286,35151,34192,35331,35437,37355,39891,40930,42757,44419,42775,42222,42175,43166,45251,47781,44595,51233,52387,51402,52760
Mendocino,,24307,#N/A,#N/A,#N/A,27504,#N/A,30073,#N/A,32306,32994,33974,36240,35199,35644,35869,36624,40149,39847,42329,43134,41488,40339,41236,41088,42001,42840,43237,45247,50453,51386,52309
Merced,,25032,#N/A,#N/A,#N/A,26203,#N/A,27125,#N/A,29178,29859,32113,34474,34074,34689,36738,38792,40039,40447,43789,42629,39922,41730,40016,42552,41003,43818,42879,47442,48036,56169,59733
